,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
167,1968-11-23,Tennessee Technological University,50th overall,2nd round,Phoenix Suns,1990,Milos Babic
168,1924-07-10,Fordham University,,1948 BAA Draf,Boston Celtics,,Johnny Bach
169,1995-08-30,Florida State University,40th overall,2nd round,New Orleans Pelicans,2017,Dwayne Bacon
170,1948-07-05,University of Louisville,93rd overall,6th round,Golden State Warriors,1972,Henry Bacon
171,1927-12-09,Eastern Kentucky University,2nd overall,1st round,Baltimore Bullets,1952,Jim Baechtold
172,1980-02-07,,24th overall,1st round,Chicago Bulls,2000,Dalibor Bagaric
173,1960-04-23,Boston College,12th overall,1st round,Cleveland Cavaliers,1982,John Bagley
174,1999-03-14,Duke University,2nd overall,1st round,Sacramento Kings,2018,Marvin Bagley III
175,1958-04-23,Tuskegee University,66th overall,3rd round,Seattle SuperSonics,1980,Carl Bailey
176,1951-02-18,University of Texas at El Paso,23rd overall,2nd round,Houston Rockets,1974,Gus Bailey
177,1957-05-21,Rutgers University,6th overall,1st round,Seattle SuperSonics,1979,James Bailey
178,1961-04-07,North Carolina State University,7th overall,1st round,Utah Jazz,1983,Thurl Bailey
179,1975-11-19,"University of California, Los Angeles",45th overall,2nd round,Los Angeles Lakers,1998,Toby Bailey
180,1990-12-07,University of New Mexico,49th overall,2nd round,Chicago Bulls,2014,Cameron Bairstow
181,1953-12-25,University of Hawaii,39th overall,3rd round,Philadelphia 76ers,1975,Jimmie Baker
182,1969-11-11,Ohio State University,,,,,LaMark Baker
183,1979-07-28,Oklahoma State University,,,,,Maurice Baker
184,1923-02-17,,,,,,Norm Baker
185,1993-03-30,Wichita State University,,,,,Ron Baker
186,1971-11-23,University of Hartford,8th overall,1st round,Milwaukee Bucks,1993,Vin Baker
187,1996-03-29,Vanderbilt University,17th overall,1st round,Memphis Grizzlies,2016,Wade Baldwin
188,1984-07-14,University of South Carolina,20th overall,1st round,New York Knicks,2006,Renaldo Balkman
189,1968-04-16,University of North Carolina at Charlotte,,,,,Cedric Ball
190,1997-10-27,"University of California, Los Angeles",2nd overall,1st round,Los Angeles Lakers,2017,Lonzo Ball
191,1955-01-29,University of Oregon,4th overall,1st round,Washington Bullets,1977,Greg Ballard
192,1921-06-21,Pennsylvania State University,,,,,Herschel Baltimore
193,1998-05-12,University of Texas at Austin,6th overall,1st round,Orlando Magic,2018,Mohamed Bamba
194,1959-05-15,Duke University,28th overall,2nd round,San Antonio Spurs,1981,Gene Banks
195,1981-11-19,"University of Nevada, Las Vegas",13th overall,1st round,Memphis Grizzlies,2003,Marcus Banks
196,1947-08-26,Western Kentucky University,153rd overall,9th round,New York Knicks,1970,Walker Banks
197,1960-04-01,"Indiana State University, Saint Augustine's College",156th overall,7th round,New York Knicks,1984,Ken Bannister
198,1951-12-03,Saint Joseph's University,8th overall,1st round,Phoenix Suns,1973,Mike Bantom
199,1927-06-27,"California State University, Los Angeles",,1956 NBA Draf,Minneapolis Lakers,,John Barber
200,1982-11-28,,28th overall,1st round,San Antonio Spurs,2003,Leandro Barbosa
201,1968-04-05,University of Illinois at Urbana-Champaign,41st overall,2nd round,Atlanta Hawks,1990,Steve Bardo
202,1984-06-26,Northeastern University,,,,,JJ Barea
203,1985-10-26,,1st overall,1st round,Toronto Raptors,2006,Andrea Bargnani
204,1921-01-15,University of Kentucky,1949 BAA Draft,5th roun,Washington Capitols,,Cliff Barker
205,1955-03-11,University of Hawaii,53rd overall,4th round,Atlanta Hawks,1976,Tom Barker
206,1963-02-20,Auburn University,5th overall,1st round,Philadelphia 76ers,1984,Charles Barkley
207,1978-02-21,St. John's University,28th overall,1st round,Portland Trail Blazers,2000,Erick Barkley
208,1923-03-31,"University of California, Los Angeles",,,,,Don Barksdale
209,1992-05-30,University of North Carolina,7th overall,1st round,Golden State Warriors,2012,Harrison Barnes
210,1945-07-25,Northeastern University,37th overall,4th round,San Diego Rockets,1968,Harry Barnes
211,1941-04-13,University of Texas at El Paso,1st overall,1st round,New York Knicks,1964,Jim Barnes
212,1952-07-27,Providence College,2nd overall,1st round,Philadelphia 76ers,1974,Marvin Barnes
213,1980-03-09,"University of California, Los Angeles",46th overall,2nd round,Memphis Grizzlies,2002,Matt Barnes
214,1936-10-02,Tennessee State University,4th overall,1st round,Syracuse Nationals,1959,Dick Barnett
215,1944-07-07,University of Oregon,8th overall,1st round,Boston Celtics,1966,Jim Barnett
216,1953-01-29,University of Akron,119th overall,7th round,Houston Rockets,1975,Nathaniel Barnett
217,1938-03-20,Tennessee State University,77th overall,11th round,St. Louis Hawks,1959,John Barnhill
218,1953-07-15,Washington State University,134th overall,8th round,Seattle SuperSonics,1976,Norton Barnhill
219,1924-05-11,University of Notre Dame,1949 BAA Draft,2nd roun,Indianapolis Olympians,,Leo Barnhorst
220,1918-08-08,Pennsylvania State University,,,,,John Barr
221,1950-10-19,Duquesne University,180th overall,13th round,Chicago Bulls,1972,Mike Barr
222,1944-06-19,Duquesne University,,,,,Moe Barr
223,1982-02-21,Seton Hall University,,,,,Andre Barrett
224,1929-08-27,Kansas State University,7th overall,1st round,Boston Celtics,1951,Ernie Barrett
225,1943-09-05,West Virginia University Institute of Technology,,,,,Mike Barrett
226,1981-08-14,University of Memphis,,,,,Earl Barron
227,1967-04-13,Boston College,16th overall,1st round,Seattle SuperSonics,1989,Dana Barros
228,1971-12-31,Oregon State University,15th overall,1st round,Denver Nuggets,1995,Brent Barry
229,1973-02-17,Georgia Institute of Technology,57th overall,2nd round,Seattle SuperSonics,1996,Drew Barry
230,1969-07-25,"University of the Pacific, Georgia Institute of Technology",21st overall,1st round,Boston Celtics,1992,Jon Barry
231,1944-03-28,University of Miami,2nd overall,1st round,San Francisco Warriors,1965,Rick Barry
232,1925-10-08,North Carolina State University,,,,,Ed Bartels
233,1948-09-29,Oregon State University,87th overall,6th round,San Francisco Warriors,1970,Vic Bartolome
234,1991-01-06,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012,Will Barton
235,1983-02-15,University of North Carolina at Charlotte,,,,,Eddie Basden
236,1951-11-10,Temple University,,,,,Jerry Baskerville
237,1985-04-30,Louisiana State University,33rd overall,2nd round,New Orleans Hornets,2005,Brandon Bass
238,1951-04-01,University of Georgia,106th overall,7th round,Buffalo Braves,1973,Tim Bassett
239,1975-05-29,University of Michigan,58th overall,2nd round,Chicago Bulls,1998,Maceo Baston
240,1975-11-20,,,,,,Mengke Bateer
241,1956-05-31,Kentucky State University,47th overall,3rd round,Houston Rockets,1978,Billy Ray Bates
242,1996-01-23,Ohio State University,48th overall,2nd round,Minnesota Timberwolves,2018,Keita Bates-Diop
243,1983-09-02,,,,,,Esteban Batista
244,1977-11-21,Arizona State University,,,,,Mike Batiste
245,1976-02-11,Texas Tech University,5th overall,1st round,Denver Nuggets,1997,Tony Battie
246,1978-09-09,Duke University,6th overall,1st round,Memphis Grizzlies,2001,Shane Battier
247,1962-11-09,Rutgers University,84th overall,4th round,Atlanta Hawks,1985,John Battle
248,1964-10-10,"Northern Illinois University, University of Illinois at Urbana-Champaign",27th overall,1st round,Detroit Pistons,1989,Kenny Battle
249,1956-03-26,University of Notre Dame,62nd overall,3rd round,New Jersey Nets,1978,Dave Batton
250,1951-05-09,University of Cincinnati,60th overall,4th round,Kansas City-Omaha Kings,1974,Lloyd Batts
251,1988-12-14,,25th overall,1st round,Houston Rockets,2008,Nicolas Batum
252,1946-06-17,Temple University,187th overall,15th round,Los Angeles Lakers,1968,Johnny Baum
253,1918-10-07,Ohio University,,,,,Frankie Baumholtz
254,1979-01-27,University of Maryland,44th overall,2nd round,Chicago Bulls,2002,Lonny Baxter
255,1988-08-20,University of Arizona,11th overall,1st round,Indiana Pacers,2008,Jerryd Bayless
256,1934-09-16,"Albertson College of Idaho, Seattle University",and Minneapolis Lakers,1956 NBA Draf,Minneapolis Lakers,1st ,Elgin Baylor
257,1942-07-28,University of Tennessee,107th overall,15th round,Baltimore Bullets,1966,Howard Bayne
258,1986-12-09,Washington State University,,,,,Aron Baynes
259,1965-03-16,,,,,,Sergei Bazarevich
260,1989-07-01,Old Dominion University,,,,,Kent Bazemore
261,1929-01-25,West Virginia University,1950 NBA Draft,5th roun,Minneapolis Lakers,,Ed Beach
262,1993-06-28,University of Florida,3rd overall,1st round,Washington Wizards,2012,Bradley Beal
263,1942-04-27,Norfolk State University,,,,,Al Beard
264,1947-05-04,University of Louisville,10th overall,1st round,Atlanta Hawks,1969,Butch Beard
265,1927-12-02,University of Kentucky,1949 BAA Draft,2nd roun,Chicago Stags,,Ralph Beard
266,1945-09-23,Southern Methodist University,74th overall,7th round,Cincinnati Royals,1967,Charles Beasley
267,1980-05-17,"Midland College, University of North Dakota",33rd overall,2nd round,Miami Heat,2003,Jerome Beasley
268,1944-02-05,Texas A&M University,45th overall,5th round,Baltimore Bullets,1966,John Beasley
269,1996-11-26,Florida State University,19th overall,1st round,Denver Nuggets,2016,Malik Beasley
270,1989-01-09,Kansas State University,2nd overall,1st round,Miami Heat,2008,Michael Beasley
271,1939-10-25,Prairie View A&M University,3rd overall,1st round,St. Louis Hawks,1962,Zelmo Beaty
272,1988-02-24,,25th overall,1st round,Oklahoma City Thunder,2009,Rodrigue Beaubois
273,1945-01-25,University of Denver,15th overall,2nd round,Chicago Bulls,1967,Byron Beck
274,1971-05-27,"South Plains College, University of Arkansas",,,,,Corey Beck
275,1931-12-11,University of Pennsylvania,,1953 NBA Draft,Philadelphia Warriors,,Ernie Beck
276,1942-01-12,Arizona State University,22nd overall,3rd round,St. Louis Hawks,1964,Arthur Becker
277,1917-02-24,Duquesne University,,,,,Moe Becker
278,1944-06-26,Stanford University,90th overall,10th round,Philadelphia 76ers,1966,Bob Bedell
279,1963-12-14,University of Memphis,6th overall,1st round,Phoenix Suns,1986,William Bedford
280,1916-06-02,Long Island University,,,,,Hank Beenders
281,1951-01-14,University of Minnesota,7th overall,1st round,Kansas City-Omaha Kings,1973,Ron Behagen
282,1929-02-03,Bradley University,37th overall,4th round,Rochester Royals,1951,Elmer Behnke
283,1986-03-25,,18th overall,1st round,Golden State Warriors,2007,Marco Belinelli
284,1979-03-12,Michigan State University,,,,,Charlie Bell
285,1951-06-02,Drake University,83rd overall,5th round,New York Knicks,1973,Dennis Bell
286,1995-01-07,University of Oregon,38th overall,2nd round,Chicago Bulls,2017,Jordan Bell
287,1976-09-19,"Boston University, Florida International University",,,,,Raja Bell
288,1980-11-10,Boston College,16th overall,1st round,Boston Celtics,2003,Troy Bell
289,1932-09-13,North Carolina State University,,,,,Whitey Bell
290,1939-07-24,Indiana University,1st overall,1st round,Chicago Packers,1961,Walt Bellamy
291,1994-07-04,Saint Joseph's University,21st overall,1st round,Atlanta Hawks,2016,DeAndre' Bembry
292,1930-11-18,University of Illinois at Urbana-Champaign,,1953 NBA Draf,Milwaukee Hawks,,Irv Bemoras
293,1950-07-23,Jacksonville University,27th overall,2nd round,Chicago Bulls,1974,Leon Benbow
294,1997-11-17,,4th overall,1st round,Phoenix Suns,2016,Dragan Bender
295,1981-01-30,,5th overall,1st round,Toronto Raptors,1999,Jonathan Bender
296,1991-08-01,"Georgetown University, Towson University",,,,,Jerrelle Benimon
297,1964-11-22,Creighton University,3rd overall,1st round,Los Angeles Clippers,1985,Benoit Benjamin
298,1978-02-24,Oregon State University,28th overall,1st round,Chicago Bulls,1998,Corey Benjamin
299,1993-03-14,"University of Nevada, Las Vegas",1st overall,1st round,Cleveland Cavaliers,2013,Anthony Bennett
300,1970-02-13,University of Notre Dame,38th overall,2nd round,Atlanta Hawks,1992,Elmer Bennett
301,1973-08-01,Arizona State University,27th overall,1st round,Phoenix Suns,1995,Mario Bennett
302,1955-01-04,University of Pittsburgh,,,,,Mel Bennett
303,1943-08-04,Winston-Salem State University,,,,,Spider Bennett
304,1969-06-01,University of Wisconsin-Green Bay,35th overall,2nd round,Charlotte Hornets,1992,Tony Bennett
305,1965-02-09,University of Kentucky,64th overall,3rd round,Cleveland Cavaliers,1988,Winston Bennett
306,1968-05-09,University of Alabama,,,,,David Benoit
307,1988-08-13,Oakland University,48th overall,2nd round,Atlanta Hawks,2011,Keith Benson
308,1954-12-27,Indiana University,1st overall,1st round,Milwaukee Bucks,1977,Kent Benson
309,1995-03-29,Providence College,51st overall,2nd round,Boston Celtics,2016,Ben Bentil
310,1926-11-22,Marquette University,,1948 BAA Draf,New York Knicks,,Gene Berce
311,1932-07-16,University of Utah,,1956 NBA Draf,New York Knicks,,Gary Bergen
312,1945-04-02,Weber State University,146th overall,11th round,Chicago Bulls,1969,Larry Bergh
313,1964-10-06,"Oregon State University, San Jose State University",18th overall,1st round,Sacramento Kings,1988,Ricky Berry
314,1964-05-14,St. John's University,14th overall,1st round,Portland Trail Blazers,1986,Walter Berry
315,1989-09-09,,,,,,Dairis Bertans
316,1992-11-12,,42nd overall,2nd round,Indiana Pacers,2011,Davis Bertans
317,1956-11-29,California University of Pennslyvania,,,,,Del Beshore
318,1972-07-12,Georgia Institute of Technology,23rd overall,1st round,Indiana Pacers,1995,Travis Best
319,1988-07-12,University of Arkansas,42nd overall,2nd round,Los Angeles Lakers,2009,Patrick Beverley
