,Player Name,Seasons in NBA,First Season Played,Last Season Played,Birthdate,Birth City,Birth State or Country,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Team (3 Letter),Age,Player Height,Player Weight,Season,Salary,Team City,Team State,Team Name
10356,Aaron Brooks,10,2008,2018,1985-01-14,Seattle,Washington,University of Oregon,26th overall,1st round,Houston Rockets,2007,HOU,28.0,182.88,73.028312,2012-13,5750000.0,Houston,Texas,Houston Rockets
10357,Aaron Brooks,10,2008,2018,1985-01-14,Seattle,Washington,University of Oregon,26th overall,1st round,Houston Rockets,2007,DEN,29.0,182.88,73.028312,2013-14,1027424.0,Denver,Colorado,Denver Nuggets
10358,Aaron Brooks,10,2008,2018,1985-01-14,Seattle,Washington,University of Oregon,26th overall,1st round,Houston Rockets,2007,CHI,30.0,182.88,73.028312,2014-15,915243.0,Chicago,Illinois,Chicago Bulls
10359,Aaron Brooks,10,2008,2018,1985-01-14,Seattle,Washington,University of Oregon,26th overall,1st round,Houston Rockets,2007,CHI,31.0,182.88,73.028312,2015-16,2250000.0,Chicago,Illinois,Chicago Bulls
10360,Aaron Brooks,10,2008,2018,1985-01-14,Seattle,Washington,University of Oregon,26th overall,1st round,Houston Rockets,2007,IND,32.0,182.88,73.028312,2016-17,2700000.0,Indianapolis,Indiana,Indiana Pacers
10361,Aaron Brooks,10,2008,2018,1985-01-14,Seattle,Washington,University of Oregon,26th overall,1st round,Houston Rockets,2007,MIN,33.0,182.88,73.028312,2017-18,2116955.0,Minneapolis,Minnesota,Minnesota Timberwolves
882,Aaron Gordon,8,2015,2022,1995-09-16,San Jose,California,University of Arizona,4th overall,1st round,Orlando Magic,2014,ORL,19.0,205.74,99.79024,2014-15,3992040.0,Orlando,Florida,Orlando Magic
883,Aaron Gordon,8,2015,2022,1995-09-16,San Jose,California,University of Arizona,4th overall,1st round,Orlando Magic,2014,ORL,20.0,205.74,99.79024,2015-16,4171680.0,Orlando,Florida,Orlando Magic
884,Aaron Gordon,8,2015,2022,1995-09-16,San Jose,California,University of Arizona,4th overall,1st round,Orlando Magic,2014,ORL,21.0,205.74,99.79024,2016-17,4351320.0,Orlando,Florida,Orlando Magic
885,Aaron Gordon,8,2015,2022,1995-09-16,San Jose,California,University of Arizona,4th overall,1st round,Orlando Magic,2014,ORL,22.0,205.74,99.79024,2017-18,5504419.0,Orlando,Florida,Orlando Magic
886,Aaron Gordon,8,2015,2022,1995-09-16,San Jose,California,University of Arizona,4th overall,1st round,Orlando Magic,2014,ORL,23.0,205.74,99.79024,2018-19,21590909.0,Orlando,Florida,Orlando Magic
887,Aaron Gordon,8,2015,2022,1995-09-16,San Jose,California,University of Arizona,4th overall,1st round,Orlando Magic,2014,ORL,24.0,203.2,106.59412,2019-20,19863636.0,Orlando,Florida,Orlando Magic
890,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,CHI,23.0,213.36,122.46984,2007-08,427163.0,Chicago,Illinois,Chicago Bulls
891,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,CHI,24.0,213.36,122.46984,2008-09,711517.0,Chicago,Illinois,Chicago Bulls
892,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,NOH,25.0,213.36,122.46984,2009-10,1000497.0,New Orleans,Louisiana,New Orleans Pelicans
893,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,NOH,26.0,213.36,122.46984,2010-11,1028840.0,New Orleans,Louisiana,New Orleans Pelicans
894,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,TOR,27.0,213.36,122.46984,2011-12,2500000.0,Toronto,Canada,Toronto Raptors
895,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,TOR,28.0,213.36,122.46984,2012-13,,Toronto,Canada,Toronto Raptors
896,Aaron Gray,7,2008,2014,1984-12-07,Tarzana,California,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,SAC,29.0,213.36,122.46984,2013-14,2612500.0,Sacramento,California,Sacramento Kings
9642,Aaron Harrison,3,2016,2018,1994-10-28,San Antonio,Texas,University of Kentucky,,,,,CHA,21.0,198.12,95.25432,2015-16,525093.0,Charlotte,North Carolina,Charlotte Hornets
9643,Aaron Harrison,3,2016,2018,1994-10-28,San Antonio,Texas,University of Kentucky,,,,,CHA,21.0,198.12,95.25432,2015-16,525093.0,Charlotte,North Carolina,Charlotte Hornets
9644,Aaron Harrison,3,2016,2018,1994-10-28,San Antonio,Texas,University of Kentucky,,,,,CHA,22.0,198.12,95.25432,2016-17,365289.0,Charlotte,North Carolina,Charlotte Hornets
9645,Aaron Harrison,3,2016,2018,1994-10-28,San Antonio,Texas,University of Kentucky,,,,,CHA,22.0,198.12,95.25432,2016-17,365289.0,Charlotte,North Carolina,Charlotte Hornets
9646,Aaron Harrison,3,2016,2018,1994-10-28,San Antonio,Texas,University of Kentucky,,,,,DAL,23.0,198.12,95.25432,2017-18,174570.0,Dallas,Texas,Dallas Mavericks
4425,Aaron Holiday,4,2019,2022,1996-09-30,Ruston,Louisiana,"University of California, Los Angeles",23rd overall,1st round,Indiana Pacers,2018,IND,22.0,185.42,83.91452,2018-19,1914480.0,Indianapolis,Indiana,Indiana Pacers
4426,Aaron Holiday,4,2019,2022,1996-09-30,Ruston,Louisiana,"University of California, Los Angeles",23rd overall,1st round,Indiana Pacers,2018,IND,23.0,182.88,83.91452,2019-20,2329200.0,Indianapolis,Indiana,Indiana Pacers
1871,Aaron Jackson,1,2018,2018,1986-05-06,Hartford,Connecticut,Duquesne University,,,,,HOU,32.0,190.5,83.007336,2017-18,46079.0,Houston,Texas,Houston Rockets
8408,Aaron Miles,1,2006,2006,1983-04-13,Portland,Oregon,University of Kansas,,,,,GSW,23.0,185.42,86.18248,2005-06,155614.0,San Francisco,California,Golden State Warriors
11427,Abdel Nader,5,2018,2022,1993-09-25,Alexandria,Egypt,"Northern Illinois University, Iowa State University",58th overall,2nd round,Boston Celtics,2016,BOS,24.0,198.12,104.32616,2017-18,1167333.0,Boston,Massachusetts,Boston Celtics
11428,Abdel Nader,5,2018,2022,1993-09-25,Alexandria,Egypt,"Northern Illinois University, Iowa State University",58th overall,2nd round,Boston Celtics,2016,OKC,25.0,198.12,102.0582,2018-19,1378242.0,Oklahoma City,Oklahoma,Oklahoma City Thunder
11429,Abdel Nader,5,2018,2022,1993-09-25,Alexandria,Egypt,"Northern Illinois University, Iowa State University",58th overall,2nd round,Boston Celtics,2016,OKC,26.0,195.58,102.0582,2019-20,1618520.0,Oklahoma City,Oklahoma,Oklahoma City Thunder
9751,Acie Law,4,2008,2011,1985-01-25,Dallas,Texas,Texas A&M University,11th overall,1st round,Atlanta Hawks,2007,ATL,23.0,190.5,88.45044,2007-08,1927080.0,Atlanta,Georgia,Atlanta Hawks
9752,Acie Law,4,2008,2011,1985-01-25,Dallas,Texas,Texas A&M University,11th overall,1st round,Atlanta Hawks,2007,ATL,24.0,190.5,91.625584,2008-09,2071680.0,Atlanta,Georgia,Atlanta Hawks
9753,Acie Law,4,2008,2011,1985-01-25,Dallas,Texas,Texas A&M University,11th overall,1st round,Atlanta Hawks,2007,CHI,25.0,190.5,91.625584,2009-10,2216160.0,Chicago,Illinois,Chicago Bulls
9754,Acie Law,4,2008,2011,1985-01-25,Dallas,Texas,Texas A&M University,11th overall,1st round,Atlanta Hawks,2007,GSW,26.0,190.5,91.625584,2010-11,859087.0,San Francisco,California,Golden State Warriors
4978,Adam Harrington,1,2003,2003,1980-07-05,Bernardston,Massachusetts,"North Carolina State University, Auburn University",,,,,DEN,22.0,195.58,90.7184,2002-03,140636.0,Denver,Colorado,Denver Nuggets
6040,Adam Morrison,3,2007,2010,1984-07-19,Glendive,Montana,Gonzaga University,3rd overall,1st round,Charlotte Bobcats,2006,CHA,22.0,203.2,92.98636,2006-07,3616680.0,Charlotte,North Carolina,Charlotte Hornets
6041,Adam Morrison,3,2007,2010,1984-07-19,Glendive,Montana,Gonzaga University,3rd overall,1st round,Charlotte Bobcats,2006,CHA,22.0,203.2,92.98636,2006-07,3616680.0,Charlotte,North Carolina,Charlotte Hornets
6042,Adam Morrison,3,2007,2010,1984-07-19,Glendive,Montana,Gonzaga University,3rd overall,1st round,Charlotte Bobcats,2006,LAL,24.0,203.2,92.98636,2008-09,4159200.0,Los Angeles,California,Los Angeles Lakers
6043,Adam Morrison,3,2007,2010,1984-07-19,Glendive,Montana,Gonzaga University,3rd overall,1st round,Charlotte Bobcats,2006,LAL,25.0,203.2,92.98636,2009-10,5257229.0,Los Angeles,California,Los Angeles Lakers
9372,Adonis Thomas,1,2014,2014,1993-03-25,Memphis,Tennessee,University of Memphis,,,,,PHI,21.0,200.66,108.86208,2013-14,,Philadelphia,Pennsylvania,Philadelphia 76ers
8109,Adreian Payne,4,2015,2018,1991-02-19,Dayton,Ohio,Michigan State University,15th overall,1st round,Atlanta Hawks,2014,MIN,24.0,208.28,111.13004,2014-15,1855320.0,Minneapolis,Minnesota,Minnesota Timberwolves
8110,Adreian Payne,4,2015,2018,1991-02-19,Dayton,Ohio,Michigan State University,15th overall,1st round,Atlanta Hawks,2014,MIN,25.0,208.28,107.501304,2015-16,1938840.0,Minneapolis,Minnesota,Minnesota Timberwolves
8111,Adreian Payne,4,2015,2018,1991-02-19,Dayton,Ohio,Michigan State University,15th overall,1st round,Atlanta Hawks,2014,MIN,26.0,208.28,107.501304,2016-17,2022240.0,Minneapolis,Minnesota,Minnesota Timberwolves
8112,Adreian Payne,4,2015,2018,1991-02-19,Dayton,Ohio,Michigan State University,15th overall,1st round,Atlanta Hawks,2014,ORL,27.0,208.28,107.501304,2017-18,77250.0,Orlando,Florida,Orlando Magic
4080,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,BOS,25.0,195.58,97.52228,1999-00,,Boston,Massachusetts,Boston Celtics
4081,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,BOS,26.0,195.58,97.52228,2000-01,498500.0,Boston,Massachusetts,Boston Celtics
4082,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,DAL,27.0,195.58,97.52228,2001-02,565850.0,Dallas,Texas,Dallas Mavericks
4083,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,DAL,28.0,195.58,104.32616,2002-03,637435.0,Dallas,Texas,Dallas Mavericks
4084,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,HOU,29.0,195.58,104.32616,2003-04,751179.0,Houston,Texas,Houston Rockets
4085,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,CHI,30.0,195.58,104.32616,2004-05,870046.0,Chicago,Illinois,Chicago Bulls
4086,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,DAL,31.0,195.58,104.32616,2005-06,768718.0,Dallas,Texas,Dallas Mavericks
4087,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,CHI,32.0,195.58,104.32616,2006-07,1475000.0,Chicago,Illinois,Chicago Bulls
4088,Adrian Griffin,9,2000,2008,1974-07-04,Wichita,Kansas,Seton Hall University,,,,,SEA,33.0,195.58,104.32616,2007-08,1593000.0,Oklahoma City,Oklahoma,Oklahoma City Thunder
6265,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,IND,20.0,205.74,115.212368,1999-00,745000.0,Indianapolis,Indiana,Indiana Pacers
6266,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,IND,21.0,205.74,115.212368,2000-01,797880.0,Indianapolis,Indiana,Indiana Pacers
6267,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,IND,22.0,205.74,113.398,2001-02,1436982.0,Indianapolis,Indiana,Indiana Pacers
6268,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,IND,23.0,205.74,113.398,2002-03,5060000.0,Indianapolis,Indiana,Indiana Pacers
6269,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,IND,24.0,205.74,113.398,2003-04,5692500.0,Indianapolis,Indiana,Indiana Pacers
6270,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,ATL,25.0,205.74,113.398,2004-05,6325000.0,Atlanta,Georgia,Atlanta Hawks
6271,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,ATL,26.0,205.74,111.13004,2005-06,6957500.0,Atlanta,Georgia,Atlanta Hawks
6272,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,GSW,27.0,205.74,111.13004,2006-07,7625000.0,San Francisco,California,Golden State Warriors
6273,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,GSW,28.0,205.74,113.398,2007-08,8425625.0,San Francisco,California,Golden State Warriors
6274,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,NYK,29.0,205.74,113.398,2008-09,9226250.0,New York,New York,New York Knicks
6275,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,NYK,30.0,205.74,113.398,2009-10,10026875.0,New York,New York,New York Knicks
6276,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,DEN,31.0,205.74,113.398,2010-11,5765000.0,Denver,Colorado,Denver Nuggets
6277,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,DEN,32.0,205.74,113.398,2011-12,6226200.0,Denver,Colorado,Denver Nuggets
6278,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,ORL,33.0,205.74,111.13004,2012-13,6687400.0,Orlando,Florida,Orlando Magic
6279,Al Harrington,16,1999,2014,1980-02-17,Orange,New Jersey,,25th overall,1st round,Indiana Pacers,1998,WAS,34.0,205.74,111.13004,2013-14,8548107.0,Washington DC,Washington DC,Washington Wizards
11407,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,22.0,208.28,111.13004,2007-08,3745800.0,Atlanta,Georgia,Atlanta Hawks
11408,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,23.0,208.28,111.13004,2008-09,4026720.0,Atlanta,Georgia,Atlanta Hawks
11409,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,24.0,208.28,111.13004,2009-10,4307640.0,Atlanta,Georgia,Atlanta Hawks
11410,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,25.0,208.28,111.13004,2010-11,5444857.0,Atlanta,Georgia,Atlanta Hawks
11411,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,26.0,208.28,113.398,2011-12,12000000.0,Atlanta,Georgia,Atlanta Hawks
11412,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,27.0,208.28,113.398,2012-13,12000000.0,Atlanta,Georgia,Atlanta Hawks
11413,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,28.0,208.28,113.398,2013-14,12000000.0,Atlanta,Georgia,Atlanta Hawks
11414,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,29.0,208.28,113.398,2014-15,12000000.0,Atlanta,Georgia,Atlanta Hawks
11415,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,ATL,30.0,208.28,111.13004,2015-16,12000000.0,Atlanta,Georgia,Atlanta Hawks
11416,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,BOS,31.0,208.28,111.13004,2016-17,26540100.0,Boston,Massachusetts,Boston Celtics
11417,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,BOS,32.0,208.28,111.13004,2017-18,27734405.0,Boston,Massachusetts,Boston Celtics
11418,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,BOS,33.0,208.28,111.13004,2018-19,28928710.0,Boston,Massachusetts,Boston Celtics
11419,Al Horford,15,2008,2022,1986-06-03,Puerto Plata,Dominican Republic,University of Florida,3rd overall,1st round,Atlanta Hawks,2007,PHI,34.0,205.74,108.86208,2019-20,28000000.0,Philadelphia,Pennsylvania,Philadelphia 76ers
5719,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,BOS,20.0,208.28,120.20188,2004-05,1407240.0,Boston,Massachusetts,Boston Celtics
5720,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,BOS,21.0,208.28,120.20188,2005-06,1512840.0,Boston,Massachusetts,Boston Celtics
5721,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,BOS,22.0,208.28,116.119552,2006-07,1618320.0,Boston,Massachusetts,Boston Celtics
5722,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,MIN,23.0,208.28,120.20188,2007-08,2480885.0,Minneapolis,Minnesota,Minnesota Timberwolves
5723,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,MIN,24.0,208.28,120.20188,2008-09,11000000.0,Minneapolis,Minnesota,Minnesota Timberwolves
5724,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,MIN,25.0,208.28,120.20188,2009-10,12000000.0,Minneapolis,Minnesota,Minnesota Timberwolves
5725,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,UTA,26.0,208.28,127.00576,2010-11,13000000.0,Salt Lake City,Utah,Utah Jazz
5726,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,UTA,27.0,208.28,131.088088,2011-12,14000000.0,Salt Lake City,Utah,Utah Jazz
5727,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,UTA,28.0,208.28,131.088088,2012-13,15000000.0,Salt Lake City,Utah,Utah Jazz
5728,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,CHA,29.0,208.28,131.088088,2013-14,13500000.0,Charlotte,North Carolina,Charlotte Hornets
5729,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,CHA,29.0,208.28,131.088088,2013-14,13500000.0,Charlotte,North Carolina,Charlotte Hornets
5730,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,CHA,30.0,208.28,131.088088,2014-15,13500000.0,Charlotte,North Carolina,Charlotte Hornets
5731,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,CHA,30.0,208.28,131.088088,2014-15,13500000.0,Charlotte,North Carolina,Charlotte Hornets
5732,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,CHA,31.0,208.28,131.088088,2015-16,13500000.0,Charlotte,North Carolina,Charlotte Hornets
5733,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,CHA,31.0,208.28,131.088088,2015-16,13500000.0,Charlotte,North Carolina,Charlotte Hornets
5734,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,IND,32.0,208.28,131.088088,2016-17,10230179.0,Indianapolis,Indiana,Indiana Pacers
5735,Al Jefferson,14,2005,2018,1985-01-04,Monticello,Mississippi,,15th overall,1st round,Boston Celtics,2004,IND,33.0,208.28,127.00576,2017-18,9769821.0,Indianapolis,Indiana,Indiana Pacers
2825,Al Thornton,4,2008,2011,1983-12-07,Perry,Georgia,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,LAC,24.0,203.2,99.79024,2007-08,1652280.0,Los Angeles,California,LA Clippers
2826,Al Thornton,4,2008,2011,1983-12-07,Perry,Georgia,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,LAC,25.0,203.2,99.79024,2008-09,1776240.0,Los Angeles,California,LA Clippers
2827,Al Thornton,4,2008,2011,1983-12-07,Perry,Georgia,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,WAS,26.0,203.2,99.79024,2009-10,1900200.0,Washington DC,Washington DC,Washington Wizards
2828,Al Thornton,4,2008,2011,1983-12-07,Perry,Georgia,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,GSW,27.0,203.2,106.59412,2010-11,2814196.0,San Francisco,California,Golden State Warriors
2519,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,LAC,20.0,205.74,97.52228,2010-11,2563320.0,Los Angeles,California,LA Clippers
2520,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,NOH,21.0,205.74,97.52228,2011-12,2755560.0,New Orleans,Louisiana,New Orleans Pelicans
2521,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,NOH,22.0,205.74,97.52228,2012-13,2947800.0,New Orleans,Louisiana,New Orleans Pelicans
2522,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,NOP,23.0,205.74,97.52228,2013-14,3700000.0,New Orleans,Louisiana,New Orleans Pelicans
2523,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,DAL,24.0,205.74,97.52228,2014-15,981084.0,Dallas,Texas,Dallas Mavericks
2524,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,POR,25.0,205.74,97.52228,2015-16,8042895.0,Portland,Oregon,Portland Trail Blazers
2525,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,POR,26.0,205.74,99.79024,2016-17,7680965.0,Portland,Oregon,Portland Trail Blazers
2526,Al-Farouq Aminu,11,2011,2021,1990-09-21,Atlanta,Georgia,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,POR,27.0,205.74,99.79024,2017-18,7319035.0,Portland,Oregon,Portland Trail Blazers
