,Player Name,Seasons in NBA,First Season Played,Last Season Played,Birthdate,Birth City,Birth State or Country,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year
52,Keith McCord,1,1981,1981,1957-06-22,Birmingham,Alabama,"University of Alabama, University of Alabama at Birmingham",198th overall,10th round,Philadelphia 76ers,1979
53,KJ McDaniels,3,2015,2017,1993-02-09,Mobile,Alabama,Clemson University,32nd overall,2nd round,Philadelphia 76ers,2014
54,George McGinnis,11,1972,1982,1950-08-12,Harpersville,Alabama,Indiana University,22nd overall,2nd round,Philadelphia 76ers,1973
55,Thales McReynolds,1,1966,1966,1943-06-08,Birmingham,Alabama,Miles College,82nd overall,11th round,Baltimore Bullets,1965
56,Joe Meriweather,10,1976,1985,1953-10-26,Phenix City,Alabama,Southern Illinois University,11th overall,1st round,Houston Rockets,1975
57,Larry Moffett,1,1978,1978,1954-11-05,Mobile,Alabama,"University of Nevada, Las Vegas",34th overall,2nd round,Houston Rockets,1977
58,Jamario Moon,5,2008,2012,1980-06-13,Goodwater,Alabama,Meridian Community College,,,,
59,Xavier Moon,1,2022,2022,1995-01-02,Goodwater,Alabama,,,,,
60,Allen Murphy,2,1976,1977,1952-07-15,Birmingham,Alabama,University of Louisville,35th overall,2nd round,Phoenix Suns,1975
61,Pete Myers,9,1987,1998,1963-09-15,Mobile,Alabama,University of Arkansas at Little Rock,120th overall,6th round,Chicago Bulls,1986
62,Wiley Peck,1,1980,1980,1957-09-15,Montgomery,Alabama,Mississippi State University,19th overall,1st round,San Antonio Spurs,1979
63,Chuck Person,13,1987,2000,1964-06-27,Brantley,Alabama,Auburn University,4th overall,1st round,Indiana Pacers,1986
64,Wesley Person,11,1995,2005,1971-03-28,Crenshaw,Alabama,Auburn University,23rd overall,1st round,Phoenix Suns,1994
65,Eddie Phillips,1,1983,1983,1961-09-29,Birmingham,Alabama,University of Alabama,21st overall,1st round,New Jersey Nets,1982
66,Stan Pietkiewicz,3,1979,1981,1956-07-14,Huntsville,Alabama,Auburn University,133rd overall,7th round,San Diego Clippers,1978
67,Chris Porter,1,2001,2001,1978-05-09,Abbeville,Alabama,Auburn University,55th overall,2nd round,Golden State Warriors,2000
68,Cal Ramsey,2,1960,1961,1937-07-13,Selma,Alabama,New York University,13th overall,2nd round,St. Louis Hawks,1959
69,Theo Ratliff,16,1996,2011,1973-04-17,Demopolis,Alabama,University of Wyoming,18th overall,1st round,Detroit Pistons,1995
70,Oliver Robinson,1,1983,1983,1960-03-13,Birmingham,Alabama,University of Alabama at Birmingham,24th overall,2nd round,San Antonio Spurs,1982
71,Roy Rogers,3,1997,2000,1973-08-19,Linden,Alabama,University of Alabama,22nd overall,1st round,Vancouver Grizzlies,1996
72,Curtis Rowe,8,1972,1979,1949-07-02,Bessemer,Alabama,"University of California, Los Angeles",11th overall,1st round,Detroit Pistons,1971
73,Willie Scott,1,1970,1970,1947-05-22,Gadsden,Alabama,Alabama State University,29th overall,2nd round,Baltimore Bullets,1969
74,Walter Sharpe,1,2009,2009,1986-07-18,Huntsville,Alabama,"Mississippi State University, University of Alabama at Birmingham",32nd overall,2nd round,Seattle SuperSonics,2008
75,Johnny Simmons,1,1947,1947,1924-07-07,Birmingham,Alabama,New York University,,,,
76,Doug Sims,1,1969,1969,1943-06-29,Elba,Alabama,Kent State University,,,,
77,Bud Stallworth,5,1973,1977,1950-01-18,Hartselle,Alabama,University of Kansas,7th overall,1st round,Seattle SuperSonics,1972
78,Erick Strickland,9,1997,2005,1973-11-25,Opelika,Alabama,University of Nebraska,,,,
79,Craig Sword,1,2022,2022,1994-01-16,Montgomery,Alabama,,,,,
80,Emanuel Terry,2,2019,2022,1996-08-21,Birmingham,Alabama,Lincoln Memorial University,,,,
81,Andrew Toney,8,1981,1988,1957-11-23,Birmingham,Alabama,University of Louisiana at Lafayette,8th overall,1st round,Philadelphia 76ers,1980
82,Ben Wallace,16,1997,2012,1974-09-10,White Hall,Alabama,Virginia Union University,,,,
83,Gerald Wallace,14,2002,2015,1982-07-23,Sylacauga,Alabama,University of Alabama,25th overall,1st round,Sacramento Kings,2001
84,Trendon Watford,1,2022,2022,2000-11-09,Birmingham,Alabama,,,,,
85,Marcus Webb,1,1993,1993,1970-05-09,Montgomery,Alabama,University of Alabama,,,,
86,Mario West,4,2008,2011,1984-06-19,Huntsville,Alabama,Georgia Institute of Technology,,,,
87,Ennis Whatley,10,1984,1997,1962-08-11,Birmingham,Alabama,University of Alabama,13th overall,1st round,Kansas City Kings,1983
88,DJ White,6,2009,2014,1986-08-31,Tuscaloosa,Alabama,Indiana University,29th overall,1st round,Detroit Pistons,2008
89,Rory White,5,1983,1987,1959-08-16,Tuskegee,Alabama,University of South Alabama,86th overall,4th round,Phoenix Suns,1982
90,DC Wilcutt,2,1949,1950,1923-03-25,Patton,Alabama,Saint Louis University,,1948 BAA Draf,St. Louis Bombers,
91,Duck Williams,1,1980,1980,1956-08-02,Demopolis,Alabama,University of Notre Dame,96th overall,5th round,New Orleans Jazz,1978
92,Mario Chalmers,9,2009,2018,1986-05-19,Anchorage,Alaska,University of Kansas,34th overall,2nd round,Minnesota Timberwolves,2008
93,Daishen Nix,1,2022,2022,2002-02-13,Anchorage,Alaska,,,,,
94,Mark Alarie,5,1987,1991,1963-12-11,Phoenix,Arizona,Duke University,18th overall,1st round,Denver Nuggets,1986
95,Marvin Bagley III,4,2019,2022,1999-03-14,Tempe,Arizona,Duke University,2nd overall,1st round,Sacramento Kings,2018
96,Jerryd Bayless,11,2009,2019,1988-08-20,Phoenix,Arizona,University of Arizona,11th overall,1st round,Indiana Pacers,2008
97,Zylan Cheatham,2,2020,2022,1995-11-17,Phoenix,Arizona,,,,,
98,Steve Colter,8,1985,1995,1962-07-24,Phoenix,Arizona,New Mexico State University,33rd overall,2nd round,Portland Trail Blazers,1984
99,Bryce Cotton,2,2015,2016,1992-08-11,Tucson,Arizona,Providence College,,,,
100,Ron Davis,3,1977,1982,1954-05-01,Phoenix,Arizona,Washington State University,70th overall,5th round,Atlanta Hawks,1976
101,Sean Elliott,12,1990,2001,1968-02-02,Tucson,Arizona,University of Arizona,3rd overall,1st round,San Antonio Spurs,1989
102,Nick Johnson,1,2015,2015,1992-12-22,Tempe,Arizona,University of Arizona,42nd overall,2nd round,Houston Rockets,2014
103,Kevin Knox,4,2019,2022,1999-08-11,Phoenix,Arizona,University of Kentucky,9th overall,1st round,New York Knicks,2018
104,Perry Moss,2,1986,1987,1958-11-11,Tucson,Arizona,Northeastern University,69th overall,3rd round,Boston Celtics,1982
105,Larry Owens,2,2011,2012,1983-01-08,Mesa,Arizona,Oral Roberts University,,,,
106,Wayne See,1,1950,1950,1923-11-03,Clemenceau,Arizona,Northern Arizona University,,,,
107,Bernard Thompson,5,1985,1989,1962-08-30,Phoenix,Arizona,"California State University, Fresno",19th overall,1st round,Portland Trail Blazers,1984
108,Matisse Thybulle,3,2020,2022,1997-03-04,Scottsdale,Arizona,,,,,
109,Paul Watson,3,2020,2022,1994-12-30,Phoenix,Arizona,,,,,
110,Alan Williams,4,2016,2019,1993-01-28,Phoenix,Arizona,"University of California, Santa Barbara",,,,
111,James Anderson,5,2011,2016,1989-03-25,El Dorado,Arkansas,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010
112,Jim Barnes,7,1965,1971,1941-04-13,Tuckerman,Arkansas,University of Texas at El Paso,1st overall,1st round,New York Knicks,1964
113,Keljin Blevins,2,2021,2022,1995-11-24,Hot Springs,Arkansas,,,,,
114,Leon Blevins,1,1951,1951,1926-06-25,Black Oak,Arkansas,University of Arizona,1950 NBA Draft,7th roun,Indianapolis Olympians,
115,Ron Brewer,8,1979,1986,1955-07-16,Fort Smith,Arkansas,,,,,
116,Marcus Brown,2,1997,2000,1974-04-03,West Memphis,Arkansas,Murray State University,46th overall,2nd round,Portland Trail Blazers,1996
117,Bob Burrow,2,1957,1958,1934-06-29,Malvern,Arkansas,University of Kentucky,,1956 NBA Draf,Rochester Royals,
118,Michael Cage,15,1985,2000,1962-01-28,West Memphis,Arkansas,San Diego State University,14th overall,1st round,Los Angeles Clippers,1984
119,Cory Carr,1,1999,1999,1975-12-05,Fordyce,Arkansas,Texas Tech University,49th overall,2nd round,Atlanta Hawks,1998
120,Joe Barry Carroll,10,1981,1991,1958-07-24,Pine Bluff,Arkansas,Purdue University,1st overall,1st round,Golden State Warriors,1980
121,Archie Clark,10,1967,1976,1941-07-15,Conway,Arkansas,University of Minnesota,37th overall,4th round,Los Angeles Lakers,1966
122,Nat Clifton,8,1951,1958,1922-10-13,Little Rock,Arkansas,Xavier University of Louisiana,,,,
123,Mike Conley,15,2008,2022,1987-10-11,Fayetteville,Arkansas,Ohio State University,4th overall,1st round,Memphis Grizzlies,2007
124,John Dickson,1,1968,1968,1945-11-18,Searcy,Arkansas,Arkansas State University,22nd overall,3rd round,Chicago Bulls,1967
125,Jeremy Evans,7,2011,2018,1987-10-24,Crossett,Arkansas,Western Kentucky University,55th overall,2nd round,Utah Jazz,2010
126,Derek Fisher,18,1997,2014,1974-08-09,Little Rock,Arkansas,University of Arkansas at Little Rock,24th overall,1st round,Los Angeles Lakers,1996
127,Daniel Gafford,3,2020,2022,1998-10-01,El Dorado,Arkansas,,,,,
128,Archie Goodwin,4,2014,2017,1994-08-17,Little Rock,Arkansas,University of Kentucky,29th overall,1st round,Oklahoma City Thunder,2013
129,Dusty Hannahs,2,2019,2020,1993-09-02,Little Rock,Arkansas,"Texas Tech University, University of Arkansas",,,,
130,Myron Jackson,1,1987,1987,1964-05-06,Hamburg,Arkansas,University of Arkansas at Little Rock,85th overall,4th round,Dallas Mavericks,1986
131,Isaiah Joe,2,2021,2022,1999-07-02,Fort Smith,Arkansas,,,,,
132,Joe Johnson,18,2002,2022,1981-06-29,Little Rock,Arkansas,University of Arkansas,10th overall,1st round,Boston Celtics,2001
133,Lee Johnson,1,1981,1981,1957-06-16,Plummerville,Arkansas,"University of Montana, East Texas State University",17th overall,1st round,Houston Rockets,1979
134,Caldwell Jones,17,1974,1990,1950-08-04,McGehee,Arkansas,Albany State University,32nd overall,2nd round,Philadelphia 76ers,1973
135,Charles Jones,15,1984,1998,1957-04-03,McGehee,Arkansas,Albany State University,165th overall,8th round,Phoenix Suns,1979
136,Fred Jones,7,2003,2009,1979-03-11,Malvern,Arkansas,University of Oregon,14th overall,1st round,Indiana Pacers,2002
137,Major Jones,6,1980,1985,1953-07-09,McGhee,Arkansas,Albany State University,20th overall,2nd round,Portland Trail Blazers,1976
138,Wil Jones,9,1970,1978,1947-02-27,McGehee,Arkansas,Albany State University,69th overall,5th round,Los Angeles Lakers,1969
139,Andrew Lang,12,1989,2000,1966-06-28,Pine Bluff,Arkansas,University of Arkansas,28th overall,2nd round,Phoenix Suns,1988
140,Keith Lee,3,1986,1989,1962-12-28,West Memphis,Arkansas,University of Memphis,11th overall,1st round,Chicago Bulls,1985
141,Fat Lever,11,1983,1994,1960-08-18,Pine Bluff,Arkansas,Arizona State University,11th overall,1st round,Portland Trail Blazers,1982
142,Quincy Lewis,4,2000,2004,1977-06-26,Little Rock,Arkansas,University of Minnesota,19th overall,1st round,Utah Jazz,1999
143,Daryl Macon,2,2019,2020,1995-11-29,Little Rock,Arkansas,University of Arkansas,,,,
144,Brian Martin,1,1986,1986,1962-08-18,Fort Smith,Arkansas,University of Kansas,185th overall,9th round,Indiana Pacers,1984
145,Jeff Martin,2,1990,1991,1967-01-14,Cherry Valley,Arkansas,Murray State University,31st overall,2nd round,Los Angeles Clippers,1989
146,Jim McElroy,7,1976,1982,1953-10-04,Cotton Plant,Arkansas,Central Michigan University,38th overall,3rd round,New Orleans Jazz,1975
147,Eddie Miles,9,1964,1972,1940-07-05,North Little Rock,Arkansas,Seattle University,4th overall,1st round,Detroit Pistons,1963
148,Sidney Moncrief,11,1980,1991,1957-09-21,Little Rock,Arkansas,University of Arkansas,5th overall,1st round,Milwaukee Bucks,1979
149,Malik Monk,5,2018,2022,1998-02-04,Jonesboro,Arkansas,University of Kentucky,11th overall,1st round,Charlotte Hornets,2017
150,Moses Moody,1,2022,2022,2002-05-31,Little Rock,Arkansas,,,,,
151,Gaylon Nickerson,1,1997,1997,1969-02-05,Osecola,Arkansas,"Wichita State University, Butler County Community College, Kansas State University, Northwestern Oklahoma State University",34th overall,2nd round,Atlanta Hawks,1994
152,Dennis Nutt,1,1987,1987,1963-03-25,Little Rock,Arkansas,Texas Christian University,,,,
153,Jimmy Oliver,5,1992,1999,1969-07-12,Menifee,Arkansas,Purdue University,39th overall,2nd round,Cleveland Cavaliers,1991
154,Scottie Pippen,17,1988,2004,1965-09-25,Hamburg,Arkansas,University of Central Arkansas,5th overall,1st round,Seattle SuperSonics,1987
155,Bobby Portis,7,2016,2022,1995-02-10,Little Rock,Arkansas,University of Arkansas,22nd overall,1st round,Chicago Bulls,2015
156,Austin Reaves,1,2022,2022,1998-05-29,Newark,Arkansas,,,,,
157,Bryant Reeves,6,1996,2001,1973-06-08,Fort Smith,Arkansas,Oklahoma State University,6th overall,1st round,Vancouver Grizzlies,1995
158,Glen Rice,15,1990,2004,1967-05-28,Jacksonville,Arkansas,University of Michigan,4th overall,1st round,Miami Heat,1989
159,Jackie Ridgle,1,1972,1972,1948-02-13,Altheimer,Arkansas,University of California,41st overall,3rd round,Cleveland Cavaliers,1971
160,Jerry Rook,1,1970,1970,1943-10-27,Jonesboro,Arkansas,Arkansas State University,97th overall,14th round,Baltimore Bullets,1965
161,Paul Silas,16,1965,1980,1943-07-12,Prescott,Arkansas,Creighton University,10th overall,2nd round,St. Louis Hawks,1964
162,Jeff Taylor,2,1983,1987,1960-01-01,Blytheville,Arkansas,Texas Tech University,42nd overall,2nd round,Houston Rockets,1982
163,Jeff Webster,1,1996,1996,1971-02-19,Pine Bluff,Arkansas,University of Oklahoma,40th overall,2nd round,Miami Heat,1994
164,Sonny Weems,4,2009,2016,1986-07-08,West Memphis,Arkansas,University of Arkansas,39th overall,2nd round,Chicago Bulls,2008
165,Corliss Williamson,12,1996,2007,1973-12-04,Russellville,Arkansas,University of Arkansas,13th overall,1st round,Sacramento Kings,1995
166,Jasper Wilson,2,1969,1970,1947-07-12,Camden,Arkansas,Southern University and A&M College,82nd overall,7th round,Baltimore Bullets,1968
167,Alex Acker,2,2006,2009,1983-01-21,Compton,California,Pepperdine University,60th overall,2nd round,Detroit Pistons,2005
168,Mark Acres,6,1988,1993,1962-11-15,Inglewood,California,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985
169,Hassan Adams,2,2007,2009,1984-06-20,Inglewood,California,University of Arizona,54th overall,2nd round,New Jersey Nets,2006
170,Rick Adelman,7,1969,1975,1946-06-16,Lynwood,California,Loyola Marymount University,79th overall,7th round,San Diego Rockets,1968
171,Arron Afflalo,11,2008,2018,1985-10-15,Los Angeles,California,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007
172,Josh Akognon,1,2013,2013,1986-02-10,Greenbrae,California,"Washington State University, California State University, Fullerton",,,,
173,Gary Alcorn,2,1960,1961,1936-10-08,Fresno,California,"California State University, Fresno",16th overall,3rd round,Detroit Pistons,1959
174,Jarrett Allen,5,2018,2022,1998-04-21,San Diego,California,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017
175,Ray Allen,18,1997,2014,1975-07-20,Merced,California,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996
176,Darrell Allums,1,1981,1981,1958-09-12,Los Angeles,California,"University of California, Los Angeles",103rd overall,5th round,Dallas Mavericks,1980
177,Lou Amundson,10,2007,2016,1982-12-07,Ventura,California,"University of Nevada, Las Vegas",,,,
178,Chris Andersen,15,2002,2017,1978-07-07,Long Beach,California,Blinn College,,,,
179,Richard Anderson,6,1983,1990,1960-11-19,San Pedro,California,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982
180,Ryan Anderson,12,2009,2020,1988-05-06,Sacramento,California,University of California,21st overall,1st round,New Jersey Nets,2008
181,Ike Anigbogu,2,2018,2019,1998-10-17,San Diego,California,"University of California, Los Angeles",47th overall,2nd round,Indiana Pacers,2017
182,Brandon Armstrong,3,2002,2004,1980-06-16,San Francisco,California,Pepperdine University,23rd overall,1st round,Houston Rockets,2001
183,Stacey Augmon,15,1992,2006,1968-08-01,Pasadena,California,"University of Nevada, Las Vegas",9th overall,1st round,Atlanta Hawks,1991
184,Isaac Austin,9,1992,2002,1969-08-18,Gridley,California,Arizona State University,48th overall,2nd round,Utah Jazz,1991
185,Ken Austin,1,1984,1984,1961-07-15,Los Angeles,California,Rice University,101st overall,5th round,Detroit Pistons,1983
186,Dennis Awtrey,12,1971,1982,1948-02-22,Hollywood,California,Santa Clara University,46th overall,3rd round,Philadelphia 76ers,1970
187,Jeff Ayres,6,2010,2016,1987-04-29,Ontario,California,Arizona State University,31st overall,2nd round,Sacramento Kings,2009
188,Toby Bailey,2,1999,2000,1975-11-19,Los Angeles,California,"University of California, Los Angeles",45th overall,2nd round,Los Angeles Lakers,1998
189,LaMelo Ball,2,2021,2022,2001-08-22,Anaheim,California,,,,,
190,Lonzo Ball,5,2018,2022,1997-10-27,Anaheim,California,"University of California, Los Angeles",2nd overall,1st round,Los Angeles Lakers,2017
191,Greg Ballard,11,1978,1989,1955-01-29,Los Angeles,California,University of Oregon,4th overall,1st round,Washington Bullets,1977
192,Don Barksdale,4,1952,1955,1923-03-31,Oakland,California,"University of California, Los Angeles",,,,
193,Matt Barnes,14,2004,2017,1980-03-09,Santa Clara,California,"University of California, Los Angeles",46th overall,2nd round,Memphis Grizzlies,2002
194,Drew Barry,3,1998,2000,1973-02-17,Oakland,California,Georgia Institute of Technology,57th overall,2nd round,Seattle SuperSonics,1996
195,Jon Barry,14,1993,2006,1969-07-25,Oakland,California,"University of the Pacific, Georgia Institute of Technology",21st overall,1st round,Boston Celtics,1992
196,Mike Batiste,1,2003,2003,1977-11-21,Long Beach,California,Arizona State University,,,,
197,Jerome Beasley,1,2004,2004,1980-05-17,Compton,California,"Midland College, University of North Dakota",33rd overall,2nd round,Miami Heat,2003
198,Bob Bedell,4,1968,1971,1944-06-26,Los Angeles,California,Stanford University,90th overall,10th round,Philadelphia 76ers,1966
199,Jordan Bell,5,2018,2022,1995-01-07,Los Angeles,California,University of Oregon,38th overall,2nd round,Chicago Bulls,2017
200,Corey Benjamin,4,1999,2003,1978-02-24,Compton,California,Oregon State University,28th overall,1st round,Chicago Bulls,1998
201,Jabari Bird,1,2018,2018,1994-07-03,Walnut Creek,California,University of California,56th overall,2nd round,Boston Celtics,2017
202,John Block,10,1967,1976,1944-04-16,Los Angeles,California,University of Southern California,27th overall,3rd round,Los Angeles Lakers,1966
203,Corie Blount,11,1994,2004,1969-01-04,Monrovia,California,University of Cincinnati,25th overall,1st round,Chicago Bulls,1993
204,Etdrick Bohannon,4,1998,2001,1973-05-29,San Bernardino,California,"University of Arizona, University of Tennessee, Auburn University at Montgomery",,,,
205,Bruce Bowen,13,1997,2009,1971-06-14,Merced,California,"California State University, Fullerton",,,,
206,Freddie Boyd,6,1973,1978,1950-06-13,Bakersfield,California,Oregon State University,5th overall,1st round,Philadelphia 76ers,1972
207,Cedric Bozeman,1,2007,2007,1983-03-07,Los Angeles,California,"University of California, Los Angeles",,,,
208,Craig Brackins,2,2011,2012,1987-10-09,Los Angeles,California,Iowa State University,21st overall,1st round,Oklahoma City Thunder,2010
209,Torraye Braggs,2,2004,2005,1976-05-15,Fresno,California,Xavier University,57th overall,2nd round,Utah Jazz,1998
210,Mike Bratz,9,1978,1986,1955-10-17,Lompoc,California,Stanford University,66th overall,3rd round,Phoenix Suns,1977
211,Al Brightman,1,1947,1947,1923-09-22,Eureka,California,University of Charleston,,,,
212,Scott Brooks,10,1989,1998,1965-07-31,French Camp,California,"Texas Christian University, University of California, Irvine",,,,
213,Anthony Brown,3,2016,2018,1992-10-10,Bellflower,California,Stanford University,34th overall,2nd round,Los Angeles Lakers,2015
214,Bobby Brown,4,2009,2018,1984-09-24,Los Angeles,California,"California State University, Fullerton",,,,
215,Darrel Brown,1,1949,1949,1923-03-14,Eureka,California,,,,,
216,Derrick Brown,3,2010,2012,1987-09-08,Oakland,California,Xavier University,40th overall,2nd round,Charlotte Bobcats,2009
217,Gerald Brown,1,1999,1999,1975-07-28,Los Angeles,California,Pepperdine University,,,,
218,Jabari Brown,1,2015,2015,1992-12-18,Oakland,California,"University of Oregon, University of Missouri",,,,
219,Lewis Brown,1,1981,1981,1955-02-19,Los Angeles,California,"University of Nevada, Las Vegas",69th overall,4th round,Milwaukee Bucks,1977
220,Chase Budinger,7,2010,2016,1988-05-22,Encinitas,California,University of Arizona,44th overall,2nd round,Detroit Pistons,2009
221,Jud Buechler,12,1991,2002,1968-06-19,San Diego,California,University of Arizona,38th overall,2nd round,Seattle SuperSonics,1990
222,Greg Bunch,1,1979,1979,1956-05-15,San Bernardino,California,"California State University, Fullerton",34th overall,2nd round,New York Knicks,1978
223,Greg Butler,3,1989,1991,1966-03-11,Inglewood,California,Stanford University,37th overall,2nd round,New York Knicks,1988
224,Mitchell Butler,8,1994,2004,1970-12-15,Los Angeles,California,"University of California, Los Angeles",,,,
225,Bill Calhoun,7,1949,1955,1927-11-04,San Francisco,California,City College of San Francisco,,,,
